job_id,submission_time,num_iteration,model_name,deadline,batch_size,num_gpu,gpu_type
f043f272-f7a0-6861-353c-30479e8fffc1,1945645,119965,bert__2.6B,1956739,256,4,a40
8884f6c5-70c1-89d4-56ff-f67b252dfa07,1945785,284315,bert__760M,1965355,128,1,v100
62e0fe9b-dbb9-6339-409e-c068a19fd0aa,1946330,124230,moe__10B,1957347,256,8,v100
d17599ad-30e4-bbd0-aebd-e6cf7bb6ff7c,1947010,121092,moe__2.4B,1972935,256,8,a40
92b2a726-91fd-95d5-3e05-10dd9ff8b565,1947459,119648,moe__2.4B,1971382,256,4,a10
4b18a6be-4950-4897-e339-1268af6c3a00,1947538,390185,moe__10B,1962786,256,4,a40
1233f95a-af31-1054-3671-8ed6946fd3ba,1948476,347642,moe__2.4B,1968532,256,16,a10
2c3a05fc-d9ff-3ce4-8085-35ca995b8139,1948522,142028,moe__690M,1968923,256,4,a10
5c0bd827-cd2b-9318-69ae-f702bcf74f31,1948612,174355,moe__1.3B,1969913,256,4,a40
ab8aa4cd-cf7c-7afa-4256-e26bd48794af,1949017,173237,moe__2.4B,1971486,512,4,a10
fd5802d5-b7b4-da2f-6de5-8afb6cdbf300,1949055,142112,moe__690M,1976954,256,1,a10
31242890-12c6-ce8a-5b8e-698381d0934d,1949071,161142,moe__2.4B,1970764,256,2,a100
f8547629-42ce-f27b-1093-fb87bc483c2b,1949121,168815,moe__2.4B,1971447,256,4,a40
28eedcf1-c688-df4b-1e59-6697e2ab7e14,1949146,344317,moe__690M,1975115,256,4,v100
acbf4707-5477-306b-7f5c-b03d384f2830,1949169,169987,moe__690M,1967395,256,4,a40
dee6c627-0f2c-0c0a-6255-3f8976b605d5,1949182,123842,moe__1.3B,1962007,256,4,a40
e3839705-010b-0c27-5e8a-4951480a0200,1949218,113905,moe__690M,1975391,256,4,v100
d22b084c-4318-b1b9-83c1-df2e1bc68747,1949226,119805,moe__690M,1975844,256,2,v100
62d91af3-1ae0-7c64-afd5-af37613ebe48,1949263,173062,wide_resnet__500M,1965133,256,2,v100
5454e16a-699f-29e9-a592-f3b54845986d,1949287,345085,wide_resnet__2B,1966019,256,8,a10
e38e954b-0972-ba83-be40-8bd90d8320e5,1949315,240085,bert__6.7B,1973925,128,8,a100
1b127bf5-27c8-2744-aa38-164061dd4bb2,1949356,239207,bert__760M,1959696,128,4,a40
744bf865-9bac-f86e-bb4b-c67ffd1ed65d,1949372,251305,bert__1.3B,1976983,128,8,a40
175be93c-0d4f-8b8d-7182-045d8fd4fee5,1949390,113996,bert__2.6B,1973060,256,16,a40
7ff28d06-2546-588e-bfa6-797575ba6313,1949414,35404,wide_resnet__1B,1971206,256,8,a10
8318558c-a71f-8fa6-3732-26ce113088a9,1949426,283365,bert__1.3B,1968023,128,2,a100
a1ae7466-f196-101e-4a8f-e8da01221e79,1949456,771200,bert__6.7B,1961196,128,8,a40
21544b77-2287-70bf-7d46-fe99b9967967,1949984,27503,moe__1.3B,1954536,512,4,a40
a0426184-5786-894e-394c-1ba364020a1b,1951276,29755,moe__1.3B,1954357,512,1,a40
e541a851-b9e7-87c5-dea4-fe5d9eb43be4,1952166,5628,moe__2.4B,1956422,256,4,v100
3a99a776-5924-d279-6cf3-c1cafd6a68a3,1953969,71542,bert__760M,1975983,128,1,a40
ddac898b-ffed-e67a-c822-2afbf96e0837,1953989,338600,bert__1.3B,1971724,256,8,a40
5b8eb85a-4d54-9029-c0a7-98866ed1fd84,1954021,386725,wide_resnet__2B,1963900,256,8,a40
5a3acd03-4e7b-27d5-570a-37b4fde33b8d,1954105,37360,wide_resnet__1B,1967659,256,4,a10
8941bcd2-df8f-f712-d21f-bbbe22ded8ef,1968419,549125,moe__10B,2013326,256,8,v100
a553a898-331f-78b0-97e4-2d4902ec44db,1977119,9640,moe__1.3B,1978081,256,8,a40
6fe69fa8-d7d3-1461-5848-69a1095140f9,1977462,7823,moe__2.4B,1978045,256,8,a100
1c220c42-279e-a888-8c0f-a44b6e46f2da,1977746,3261,moe__1.3B,1978845,512,8,a10
8a8b5d59-f52b-fe3e-c485-5478048a737b,1980566,9567,moe__2.4B,1981658,256,4,a40
1060aed1-f673-14c5-f256-a11cbc4332f7,1980582,6437,moe__690M,1981829,256,4,a10
48ced289-f790-97e6-16df-f12c72521fb9,1981311,6062,moe__2.4B,1982173,256,16,a10
69da972d-4965-5149-a4e0-c3b7c7278716,1981389,13535,moe__2.4B,1983740,256,2,a100
d197de74-b08e-2c07-c5de-fc2b6b628c4b,1981972,61437,moe__2.4B,1999956,512,8,a10
181aba9b-11da-e088-76f6-0d34c95a2301,1982299,121702,moe__1.3B,2001578,256,4,a100
d282755d-9a0d-c628-e5f7-02cc882bbc44,1982929,28734,moe__10B,2001907,1024,8,a40
d8bab604-13d4-d8bc-f29d-2a385b11b750,1983533,18828,moe__1.3B,2004849,512,4,a10
9dedf9d5-65fb-222d-da4a-874235aa99c6,1984607,4148,moe__690M,1985586,256,4,a10
e4cee509-217a-8255-d22f-b3beca184e53,1989380,785210,bert__760M,2011842,128,4,a10
b2e056dd-b43e-73db-26c7-16ddcbb92aab,1990016,113821,moe__690M,2012079,256,1,a40
22051d78-41a1-9220-820b-f8e868643ddd,1990317,171437,moe__2.4B,2004037,512,8,a10
563e27a9-9f5f-39a0-76ee-8ab4fcfac155,1990542,8906,moe__2.4B,2004450,1024,8,a100
e2ff0956-38d7-5b99-91ee-42d8b877d8bb,1990862,345762,moe__690M,2010677,256,4,a100
e1bf2c7f-2dc5-90c1-19b4-a4982d8dce57,1990939,60005,moe__1.3B,2009236,512,4,a10
9a0c2458-a47d-9c3f-4b3c-a52c825bdbe8,1991140,9335,moe__2.4B,1993102,512,4,v100
5635b949-5253-b830-5921-2e49a0f08881,1991235,36487,moe__1.3B,1993337,256,2,v100
feaf1258-b378-e7d3-123b-59437f690aa1,1991382,779760,bert__760M,2005588,128,2,a40
24d47934-be7c-46dc-2596-e7cc9e18ecaf,1991496,247775,bert__1.3B,2001036,128,2,a40
40cbbfba-d336-6de8-7659-2713576f42b0,1991678,768410,bert__1.3B,2006835,128,4,a10
6549d745-7dbc-9a50-6f7a-6ad3285758d9,1991728,36113,wide_resnet__2B,2004163,256,4,a40
383aa0cb-8cf7-89a9-2019-fe5210417536,1992091,35909,moe__10B,2008520,256,4,a100
56374cad-f210-b14d-8191-2a8c8aa344f2,1992199,342560,bert__2.6B,2010347,128,4,v100
9713eb2a-0c29-c03b-5d2b-89ed056da0a2,1992263,387175,moe__1.3B,2008630,256,8,a40
bac7f879-808a-aa22-3e3f-f197f11a1efd,1992315,241455,bert__1.3B,2019439,128,8,v100
1b59f642-0a77-fd3f-dd36-1f2043967e9c,1992568,234497,bert__1.3B,2016060,128,8,a40
4002e14d-b16d-13e5-eafd-b9339598e7a0,1992722,391930,moe__10B,2010940,256,8,a100
f35be01a-c555-f0c4-3a2d-a5647cb195d9,1992947,326785,bert__760M,2016410,128,2,a10
bcd26e04-f5de-285e-45f2-a82dee481309,1993126,85323,bert__760M,2011877,512,4,a100
b3214dd0-3930-2fb2-55c7-a546a3d5c10b,1993353,34950,bert__1.3B,1995193,128,4,a10
cc66dd79-c51f-3f11-6a1f-36bf393035a4,1993508,124205,moe__1.3B,2008754,256,8,a10
36744e82-53a8-795c-1e2b-ba743a2be26a,1993676,240307,bert__1.3B,2004007,128,2,a100
dfa5e301-b0eb-3c86-adf1-af02907a4abc,1993894,163991,moe__690M,2014367,256,2,v100
21ef839b-d296-ff90-12d2-ab04c53bb0f4,1993956,347295,bert__1.3B,2006478,128,4,a10
30d268bf-efa4-14cb-e506-50bb9cceb109,1994057,41518,moe__2.4B,2018043,1024,4,a40
d7bb939a-3027-879c-5c8f-5feac255bba9,1994312,172535,wide_resnet__4B,2021379,256,16,a10
ab0c4982-1189-2402-3f80-e24b7690b84f,1994584,160955,moe__1.3B,2015084,256,4,v100
a3c33a4e-21de-65ee-9915-b76e643344f1,1994819,75327,bert__2.6B,2006204,128,4,a40
57a26a1b-090c-d6be-04cb-5b5c118db09d,1994919,35810,moe__690M,2008375,256,4,a40
b300b3a6-576e-add3-40c8-ef4c127c2f33,1995521,61888,moe__2.4B,2006327,512,4,a40
dae8e3fa-d43a-4ea3-3ace-421948a70995,1995697,120087,moe__2.4B,2021692,256,4,a10
6b2c104e-51d0-d144-ade5-91679d1046db,1995952,172980,moe__10B,2013833,256,8,a100
bf029558-922e-f395-5afa-30e8c85de06a,1996051,140635,moe__2.4B,2006746,256,4,a40
e037c1e2-c004-6f65-1571-1f610dca6bbf,1996146,160425,moe__1.3B,2022973,256,4,a10
b82fb06b-3e01-046c-18dc-81b74219d572,1996177,142578,moe__1.3B,2024039,256,4,a40
1296ffd6-7a11-046d-223e-b05e4df0e376,1996491,121227,moe__690M,2022334,256,2,a40
dbfd84a8-635c-d73d-03ae-fc4423706ecc,2017491,25395,moe__10B,2019793,256,8,v100
788913db-cf67-9393-8409-f4d8a1b33db3,2017621,18780,moe__1.3B,2019150,256,2,a10
b71edd3f-2b0f-05c5-515a-85cb6f1a04fe,2018214,14917,wide_resnet__1B,2020786,256,2,v100
9a579a53-6f60-456e-e126-2792112bad2c,2018628,1965,bert__2.6B,2019861,512,8,a40
98df8d2d-7c75-5816-f65a-39866aa048da,2018934,5922,bert__2.6B,2021737,256,16,v100
0b132aab-dfb8-832b-211b-55597714d366,2019155,25550,moe__1.3B,2021808,256,2,a100
778b3f97-9147-b6e5-31d1-fe26c68a9fee,2021876,15077,moe__1.3B,2024172,1024,8,a100
bbe442e9-1629-c794-85db-97224b10b1d3,2022219,17968,moe__1.3B,2025940,256,8,a10
